"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-11-7","5,973.10","5,947.21","5,983.84","5,947.21","","0.74%"
"2024-11-6","5,929.04","5,864.89","5,936.14","5,864.89","","2.53%"
"2024-11-5","5,782.76","5,722.43","5,783.44","5,722.10","","1.23%"
"2024-11-4","5,712.69","5,725.15","5,741.43","5,696.51","","-0.28%"
"2024-11-1","5,728.80","5,723.22","5,772.52","5,723.22","","0.41%"
"2024-10-31","5,705.45","5,775.34","5,775.34","5,702.86","","-1.86%"
"2024-10-30","5,813.67","5,832.65","5,850.94","5,811.28","","-0.33%"
"2024-10-29","5,832.92","5,819.68","5,847.19","5,802.17","","0.16%"
"2024-10-28","5,823.52","5,833.93","5,842.92","5,823.08","","0.27%"
"2024-10-25","5,808.12","5,826.75","5,862.82","5,799.98","","-0.03%"
"2024-10-24","5,809.86","5,817.80","5,817.80","5,784.92","","0.21%"
"2024-10-23","5,797.42","5,834.50","5,834.85","5,762.41","","-0.92%"
"2024-10-22","5,851.20","5,832.70","5,863.04","5,821.17","","-0.05%"
"2024-10-21","5,853.98","5,857.82","5,866.92","5,824.79","","-0.18%"
"2024-10-18","5,864.67","5,859.43","5,872.17","5,846.11","","0.40%"
"2024-10-17","5,841.47","5,875.62","5,878.46","5,840.25","","-0.02%"
"2024-10-16","5,842.47","5,816.58","5,846.52","5,808.34","","0.47%"
"2024-10-15","5,815.26","5,866.74","5,870.36","5,804.48","","-0.76%"
"2024-10-14","5,859.85","5,829.81","5,871.41","5,829.57","","0.77%"
"2024-10-11","5,815.03","5,775.09","5,822.13","5,775.09","","0.61%"
"2024-10-10","5,780.05","5,778.36","5,795.03","5,764.76","","-0.21%"
"2024-10-9","5,792.04","5,751.80","5,796.80","5,745.02","","0.71%"
"2024-10-8","5,751.13","5,719.14","5,757.60","5,714.56","","0.97%"
"2024-10-7","5,695.94","5,737.80","5,739.34","5,686.85","","-0.96%"
"2024-10-4","5,751.07","5,737.48","5,753.21","5,702.83","","0.90%"
"2024-10-3","5,699.94","5,698.19","5,718.78","5,677.37","","-0.17%"
"2024-10-2","5,709.54","5,698.14","5,719.63","5,674.00","","0.01%"
"2024-10-1","5,708.75","5,757.73","5,757.73","5,681.28","","-0.93%"
"2024-9-30","5,762.48","5,726.52","5,765.14","5,703.53","","0.42%"
"2024-9-27","5,738.17","5,755.36","5,763.78","5,727.34","","-0.13%"
"2024-9-26","5,745.37","5,762.22","5,767.37","5,721.01","","0.40%"
"2024-9-25","5,722.26","5,733.65","5,741.03","5,712.06","","-0.19%"
"2024-9-24","5,732.93","5,727.66","5,735.32","5,698.99","","0.25%"
"2024-9-23","5,718.57","5,711.90","5,725.36","5,704.22","","0.28%"
"2024-9-20","5,702.55","5,709.64","5,715.14","5,674.49","","-0.19%"
"2024-9-19","5,713.64","5,702.63","5,733.57","5,686.42","","1.70%"
"2024-9-18","5,618.26","5,641.68","5,689.75","5,615.08","","-0.29%"
"2024-9-17","5,634.58","5,655.51","5,670.81","5,614.05","","0.03%"
"2024-9-16","5,633.09","5,615.21","5,636.05","5,604.53","","0.13%"
"2024-9-13","5,626.02","5,603.34","5,636.27","5,601.65","","0.54%"
"2024-9-12","5,595.76","5,557.48","5,600.71","5,535.50","","0.75%"
"2024-9-11","5,554.13","5,496.42","5,560.41","5,406.96","","1.07%"
"2024-9-10","5,495.52","5,490.51","5,497.91","5,441.72","","0.45%"
"2024-9-9","5,471.05","5,442.07","5,484.20","5,434.49","","1.16%"
"2024-9-6","5,408.42","5,507.33","5,522.47","5,402.62","","-1.73%"
"2024-9-5","5,503.41","5,520.08","5,546.30","5,480.54","","-0.30%"
"2024-9-4","5,520.07","5,506.68","5,552.99","5,503.66","","-0.16%"
"2024-9-3","5,528.93","5,623.89","5,623.89","5,504.33","","-2.12%"
"2024-8-30","5,648.40","5,612.74","5,651.37","5,581.79","","1.01%"
"2024-8-29","5,591.96","5,607.30","5,646.95","5,583.71","","0.00%"
"2024-8-28","5,592.18","5,624.51","5,627.03","5,560.95","","-0.60%"
"2024-8-27","5,625.80","5,602.89","5,631.18","5,593.48","","0.16%"
"2024-8-26","5,616.84","5,639.66","5,651.62","5,602.34","","-0.32%"
"2024-8-23","5,634.61","5,602.49","5,641.82","5,585.16","","1.15%"
"2024-8-22","5,570.64","5,637.77","5,643.22","5,560.95","","-0.89%"
"2024-8-21","5,620.85","5,603.09","5,632.68","5,591.57","","0.42%"
"2024-8-20","5,597.12","5,602.88","5,620.51","5,585.50","","-0.20%"
"2024-8-19","5,608.25","5,557.23","5,608.30","5,550.74","","0.97%"
"2024-8-16","5,554.25","5,530.50","5,561.98","5,525.17","","0.20%"
"2024-8-15","5,543.22","5,501.13","5,546.23","5,501.13","","1.61%"
"2024-8-14","5,455.21","5,442.36","5,463.22","5,415.91","","0.38%"
"2024-8-13","5,434.43","5,376.98","5,436.50","5,376.98","","1.68%"
"2024-8-12","5,344.39","5,351.88","5,371.20","5,324.37","","0.00%"
"2024-8-9","5,344.16","5,314.66","5,358.67","5,300.84","","0.47%"
"2024-8-8","5,319.31","5,252.57","5,328.03","5,233.85","","2.30%"
"2024-8-7","5,199.50","5,293.13","5,330.64","5,195.54","","-0.77%"
"2024-8-6","5,240.03","5,206.42","5,312.34","5,193.56","","1.04%"
"2024-8-5","5,186.33","5,151.14","5,250.89","5,119.26","","-3.00%"
"2024-8-2","5,346.56","5,376.63","5,383.89","5,302.03","","-1.84%"
"2024-8-1","5,446.68","5,537.84","5,566.16","5,410.42","","-1.37%"
"2024-7-31","5,522.30","5,505.59","5,551.51","5,493.75","","1.58%"
"2024-7-30","5,436.44","5,478.73","5,489.46","5,401.70","","-0.50%"
"2024-7-29","5,463.54","5,476.55","5,487.74","5,444.44","","0.08%"
"2024-7-26","5,459.10","5,433.67","5,488.32","5,430.70","","1.11%"
"2024-7-25","5,399.22","5,428.70","5,491.59","5,390.95","","-0.51%"
"2024-7-24","5,427.13","5,505.84","5,508.04","5,419.98","","-2.31%"
"2024-7-23","5,555.74","5,565.30","5,585.34","5,550.90","","-0.16%"
"2024-7-22","5,564.41","5,544.54","5,570.36","5,529.04","","1.08%"
"2024-7-19","5,505.00","5,543.37","5,557.50","5,497.04","","-0.71%"
"2024-7-18","5,544.59","5,608.56","5,614.05","5,522.81","","-0.78%"
"2024-7-17","5,588.27","5,610.07","5,622.49","5,584.81","","-1.39%"
"2024-7-16","5,667.20","5,644.09","5,669.67","5,639.02","","0.64%"
"2024-7-15","5,631.22","5,638.16","5,666.94","5,614.75","","0.28%"
"2024-7-12","5,615.35","5,590.76","5,655.56","5,590.44","","0.55%"
"2024-7-11","5,584.54","5,635.21","5,642.45","5,576.53","","-0.88%"
"2024-7-10","5,633.91","5,591.26","5,635.39","5,586.44","","1.02%"
"2024-7-9","5,576.98","5,584.24","5,590.75","5,574.57","","0.07%"
"2024-7-8","5,572.85","5,572.75","5,583.11","5,562.51","","0.10%"
"2024-7-5","5,567.19","5,537.91","5,570.33","5,531.63","","0.54%"
"2024-7-3","5,537.02","5,507.44","5,539.27","5,507.42","","0.51%"
"2024-7-2","5,509.01","5,461.84","5,509.69","5,458.43","","0.62%"
"2024-7-1","5,475.09","5,471.08","5,479.55","5,446.53","","0.27%"
"2024-6-28","5,460.48","5,488.48","5,523.64","5,451.12","","-0.41%"
"2024-6-27","5,482.87","5,473.59","5,490.81","5,467.54","","0.09%"
"2024-6-26","5,477.90","5,460.71","5,483.14","5,451.87","","0.16%"
"2024-6-25","5,469.30","5,460.73","5,472.88","5,446.56","","0.39%"
"2024-6-24","5,447.87","5,459.58","5,490.66","5,447.59","","-0.31%"
